"BN/Registration number","Fiscal period end","Form ID","100","110","111","112","120","130"
"100774843RR0001",2024-5-31 00:00:00,"27",,,,,,
"100804939RR0001",2024-6-30 00:00:00,"27",,,,,,
"100807189RR0001",2024-12-31 00:00:00,"27",,,,,,
"100810290RR0001",2024-12-31 00:00:00,"27",,,,,,
"100815067RR0001",2024-3-31 00:00:00,"27",,,,,,
"100823830RR0001",2024-12-31 00:00:00,"27",,,,,,
"100825116RR0001",2024-3-31 00:00:00,"27",,,,,,
"100825322RR0001",2024-3-31 00:00:00,"27",,,,,,
"100825439RR0001",2024-12-31 00:00:00,"27",,,,,,
"100831122RR0001",2024-6-30 00:00:00,"27",,,,,,
"100870674RR0001",2024-4-30 00:00:00,"27",,,,,,
"100872894RR0001",2024-12-31 00:00:00,"27",,,,,,
"100875244RR0001",2024-3-31 00:00:00,"27",,,,,,
"100876143RR0001",2024-5-31 00:00:00,"27",,,,,,
"100876143RR0001",2024-12-31 00:00:00,"27",,,,,,
"100876499RR0001",2024-3-31 00:00:00,"27",,,,,,
"100876531RR0001",2024-12-31 00:00:00,"27",,,,,,
"100876630RR0001",2024-3-31 00:00:00,"27",,,,,,
"100876689RR0001",2024-3-31 00:00:00,"27",,,,,,
"100876887RR0001",2024-4-30 00:00:00,"27",,,,,,
"100876903RR0001",2024-12-31 00:00:00,"27",,,,,,
"100877505RR0001",2024-3-31 00:00:00,"27",,,,,,
"100877513RR0001",2024-3-31 00:00:00,"27",,,,,,
"100877539RR0001",2024-3-31 00:00:00,"27",,,,,,
"100877547RR0001",2024-3-31 00:00:00,"27",,,,,,
"100877570RR0001",2024-3-31 00:00:00,"27",,,,,,
"100877596RR0001",2024-3-31 00:00:00,"27",,,,,,
"100877802RR0001",2024-3-31 00:00:00,"27",,,,,,
"100877810RR0001",2024-3-31 00:00:00,"27",,,,,,
"100878032RR0001",2024-6-30 00:00:00,"27",,,,,,
"100878123RR0001",2024-6-30 00:00:00,"27",,,,,,
"100878743RR0001",2024-3-31 00:00:00,"27",,,,,,
"100878776RR0001",2024-3-31 00:00:00,"27",,,,,,
"100878784RR0001",2024-3-31 00:00:00,"27",,,,,,
"100878792RR0001",2024-3-31 00:00:00,"27",,,,,,
"100878800RR0001",2024-8-31 00:00:00,"27",,,,,,
"100878826RR0001",2024-3-31 00:00:00,"27",,,,,,
"100878834RR0001",2024-3-31 00:00:00,"27",,,,,,
"100879576RR0001",2024-3-31 00:00:00,"27",,,,,,
"100879923RR0001",2024-3-31 00:00:00,"27",,,,,,
"100880699RR0001",2024-3-31 00:00:00,"27",,,,,,
"100880822RR0001",2024-3-31 00:00:00,"27",,,,,,
"100881333RR0001",2024-3-31 00:00:00,"27",,,,,,
"100882703RR0001",2024-12-31 00:00:00,"27",,,,,,
"100882893RR0001",2024-3-31 00:00:00,"27",,,,,,
"100883248RR0001",2024-3-31 00:00:00,"27",,,,,,
"100883289RR0001",2024-3-31 00:00:00,"27",,,,,,
"100883842RR0001",2024-9-30 00:00:00,"27",,,,,,
"100884188RR0001",2024-3-31 00:00:00,"27",,,,,,
"100884329RR0001",2024-3-31 00:00:00,"27",,,,,,
"100884584RR0001",2024-6-30 00:00:00,"27",,,,,,
"100884949RR0001",2024-3-31 00:00:00,"27",,,,,,
"100884956RR0001",2024-12-31 00:00:00,"27",,,,,,
"100886381RR0001",2024-3-31 00:00:00,"27",,,,,,
"100886407RR0001",2024-3-31 00:00:00,"27",,,,,,
"100886415RR0001",2024-3-31 00:00:00,"27",,,,,,
"100886522RR0001",2024-4-30 00:00:00,"27",,,,,,
"100886530RR0001",2024-6-30 00:00:00,"27",,,,,,
"100886993RR0001",2024-3-31 00:00:00,"27",,,,,,
"100887025RR0001",2024-3-31 00:00:00,"27",,,,,,
"100887082RR0001",2024-12-31 00:00:00,"27",,,,,,
"100887835RR0001",2024-6-30 00:00:00,"27",,,,,,
"100889997RR0001",2024-6-30 00:00:00,"27",,,,,,
"100890011RR0001",2024-6-30 00:00:00,"27",,,,,,
"100890094RR0001",2024-3-31 00:00:00,"27",,,,,,
"100890227RR0001",2024-6-30 00:00:00,"27",,,,,,
"100891134RR0001",2024-3-31 00:00:00,"27",,,,,,
"100891191RR0001",2024-3-31 00:00:00,"27",,,,,,
"100891449RR0001",2024-12-31 00:00:00,"27",,,,,,
"100892272RR0001",2024-8-31 00:00:00,"27",,,,,,
"100892918RR0001",2024-3-31 00:00:00,"27",,,,,,
"100892959RR0001",2024-3-31 00:00:00,"27",,,,,,
"100893379RR0001",2024-3-31 00:00:00,"27",,,,,,
"100893528RR0001",2024-5-31 00:00:00,"27",,,,,,
"100904085RR0001",2024-3-31 00:00:00,"27",,,,,,
"100909753RR0001",2024-8-31 00:00:00,"27",,,,,,
"100910215RR0001",2024-3-31 00:00:00,"27",,,,,,
"100914647RR0001",2024-12-31 00:00:00,"27",,,,,,
"100917020RR0001",2024-3-31 00:00:00,"27",,,,,,
"100931203RR0001",2024-3-31 00:00:00,"27",,,,,,
"100957497RR0001",2024-6-30 00:00:00,"27",,,,,,
"100960863RR0001",2024-12-31 00:00:00,"27",,,,,,
"100966175RR0001",2024-3-31 00:00:00,"27",,,,,,
"100977180RR0001",2024-3-31 00:00:00,"27",,,,,,
"100987213RR0001",2024-3-31 00:00:00,"27",,,,,,
"101015469RR0001",2024-4-30 00:00:00,"27",,,,,,
"101023059RR0001",2024-3-31 00:00:00,"27",,,,,,
"101023703RR0001",2024-3-31 00:00:00,"27",,,,,,
"101024560RR0001",2024-3-31 00:00:00,"27",,,,,,
"101026615RR0001",2024-11-30 00:00:00,"27",,,,,,
"101027613RR0001",2024-3-31 00:00:00,"27",,,,,,
"101039329RR0001",2024-6-30 00:00:00,"27",,,,,,
"101050417RR0001",2024-8-31 00:00:00,"27",,,,,,
"101051282RR0001",2024-6-30 00:00:00,"27","N","N",,,"N","N"
"101051381RR0001",2024-6-30 00:00:00,"27",,,,,,
"101051407RR0001",2024-6-30 00:00:00,"27",,,,,,
"101063923RR0002",2024-8-31 00:00:00,"27",,,,,,
"101064061RR0001",2024-6-30 00:00:00,"27",,,,,,
"101065548RR0001",2024-12-31 00:00:00,"27",,,,,,
"101065571RR0001",2024-8-31 00:00:00,"27",,,,,,
"101069029RR0001",2024-10-31 00:00:00,"27",,,,,,
"101071777RR0001",2024-3-31 00:00:00,"27",,,,,,
"101071934RR0001",2024-3-31 00:00:00,"27",,,,,,
"101072098RR0001",2024-6-30 00:00:00,"27",,,,,,
"101072106RR0001",2024-12-31 00:00:00,"27",,,,,,
"101072239RR0001",2024-3-31 00:00:00,"27",,,,,,
"101072254RR0001",2024-3-31 00:00:00,"27",,,,,,
"101074607RR0001",2024-6-30 00:00:00,"27",,,,,,
"101074953RR0001",2024-11-30 00:00:00,"27",,,,,,
"101076099RR0001",2024-3-31 00:00:00,"27",,,,,,
"101079200RR0001",2024-12-31 00:00:00,"27",,,,,,
"101079283RR0001",2024-12-31 00:00:00,"27",,,,,,
"101094266RR0001",2024-4-30 00:00:00,"27",,,,,,
"101098168RR0001",2024-3-31 00:00:00,"27",,,,,,
"101098234RR0001",2024-8-31 00:00:00,"27",,,,,,
"101098275RR0001",2024-8-31 00:00:00,"27",,,,,,
"101136885RR0001",2024-6-30 00:00:00,"27",,,,,,
"101144541RR0001",2024-8-31 00:00:00,"27",,,,,,
"101151520RR0001",2024-3-31 00:00:00,"27",,,,,,
"101157659RR0001",2024-12-31 00:00:00,"27",,,,,,
"101159564RR0001",2024-12-31 00:00:00,"27",,,,,,
"101161073RR0001",2024-4-30 00:00:00,"27",,,,,,
"101161115RR0001",2024-12-31 00:00:00,"27",,,,,,
"101161123RR0001",2024-12-31 00:00:00,"27",,,,,,
"101161776RR0001",2024-12-31 00:00:00,"27",,,,,,
"101161792RR0001",2024-3-31 00:00:00,"27",,,,,,
"101171627RR0001",2024-12-31 00:00:00,"27",,,,,,
"101203941RR0001",2024-6-30 00:00:00,"27",,,,,,
"101205888RR0001",2024-3-31 00:00:00,"27",,,,,,
"101205904RR0001",2024-12-31 00:00:00,"27",,,,,,
"101214716RR0001",2024-12-31 00:00:00,"27",,,,,,
"101258010RR0001",2024-6-30 00:00:00,"27",,,,,,
"101258077RR0001",2024-8-31 00:00:00,"27",,,,,,
"101266781RR0001",2024-12-31 00:00:00,"27",,,,,,
"101278349RR0001",2024-3-31 00:00:00,"27",,,,,,
"101278414RR0001",2024-6-30 00:00:00,"27",,,,,,
"101354322RR0001",2024-3-31 00:00:00,"27",,,,,,
"101397644RR0001",2024-3-31 00:00:00,"27",,,,,,
"101436061RR0001",2024-10-15 00:00:00,"27",,,,,,
"101469609RR0001",2024-3-31 00:00:00,"27","N","N",$1697471.00,,,
"101476083RR0001",2024-3-31 00:00:00,"27",,,,,,
"101497618RR0001",2024-12-31 00:00:00,"27",,,,,,
"101538502RR0001",2024-3-31 00:00:00,"27",,,,,,
"101544351RR0001",2024-12-31 00:00:00,"27",,,,,,
"101546588RR0001",2024-5-31 00:00:00,"27",,,,,,
"101560571RR0001",2024-6-30 00:00:00,"27",,,,,,
"101562247RR0001",2024-6-30 00:00:00,"27",,,,,,
"101562841RR0001",2024-6-30 00:00:00,"27",,,,,,
"101562874RR0001",2024-6-30 00:00:00,"27",,,,,,
"101563096RR0001",2024-12-31 00:00:00,"27",,,,,,
"101569697RR0001",2024-3-31 00:00:00,"27","N","N",$396118.00,$396118.00,,
"101574093RR0001",2024-3-31 00:00:00,"27",,,,,,
"101577294RR0001",2024-12-31 00:00:00,"27",,,,,,
"101580918RR0001",2024-3-31 00:00:00,"27",,,,,,
"101589380RR0001",2024-12-31 00:00:00,"27",,,,,,
"101589489RR0001",2024-12-31 00:00:00,"27",,,,,,
"101630812RR0001",2024-12-31 00:00:00,"27",,,,,,
"101630820RR0001",2024-3-31 00:00:00,"27",,,,,,
"101633501RR0001",2024-6-30 00:00:00,"27",,,,,,
"101644110RR0001",2024-5-31 00:00:00,"27",,,,,,
"101645612RR0001",2024-3-31 00:00:00,"27",,,,,,
"101663995RR0001",2024-12-31 00:00:00,"27",,,,,,
"101676864RR0001",2024-6-30 00:00:00,"27",,,,,,
"101678969RR0001",2024-3-31 00:00:00,"27",,,,,,
"101688448RR0001",2024-3-31 00:00:00,"27",,,,,,
"101694578RR0001",2024-12-31 00:00:00,"27","N","N",,,"N","N"
"101737401RR0001",2024-12-31 00:00:00,"27",,,,,,
"101747103RR0001",2024-12-31 00:00:00,"27","N","N",,,"N","N"
"101756112RR0001",2024-3-31 00:00:00,"27",,,,,,
"101756351RR0001",2024-3-31 00:00:00,"27",,,,,,
"101758282RR0001",2024-6-30 00:00:00,"27",,,,,,
"101787554RR0001",2024-9-30 00:00:00,"27",,,,,,
"101808145RR0001",2024-3-31 00:00:00,"27",,,,,,
"101816197RR0001",2024-9-30 00:00:00,"27","N","N",$15432706.00,,"N","N"
"101835007RR0001",2024-4-30 00:00:00,"27","N","N",$10135061.00,,,
"101835148RR0001",2024-6-30 00:00:00,"27","N","N",,,"N","N"
"101835155RR0001",2024-12-31 00:00:00,"27","N","N",,,,
"101835163RR0001",2024-12-31 00:00:00,"27","N","N",$6365569.00,$365200.00,,
"101835171RR0001",2024-3-31 00:00:00,"27","N","N",,,"N","N"
"101835221RR0001",2024-11-30 00:00:00,"27","N","N",,,"N","N"
"101835247RR0001",2024-3-31 00:00:00,"27",,,,,,
"101835361RR0001",2024-6-30 00:00:00,"27","N","N",,,"N","N"
"101835395RR0001",2024-8-31 00:00:00,"27",,,,,,
"101835445RR0001",2024-12-31 00:00:00,"27","N","N",,,,
"101835460RR0001",2024-3-31 00:00:00,"27","N","N",,,,
"101835502RR0001",2024-4-30 00:00:00,"27","N","N",$42991884.00,$26902359.00,,
"101835528RR0001",2024-12-30 00:00:00,"27","N","N",,,"N","N"
"101835544RR0001",2024-3-31 00:00:00,"27","N","N",,,"N","N"
"101835585RR0001",2024-12-31 00:00:00,"27","N","N",$0.00,$0.00,"N","N"
"101835635RR0001",2024-6-30 00:00:00,"27",,,,,,
"101835643RR0001",2024-12-31 00:00:00,"27",,,,,,
"101835650RR0001",2024-12-31 00:00:00,"27","N","N",,,"N","N"
"101835684RR0001",2024-3-31 00:00:00,"27","N","N",$388750.00,$388750.00,"N","N"
"101835718RR0001",2024-12-31 00:00:00,"27","N","N",,,,
"101835841RR0001",2024-3-31 00:00:00,"27","N","N",$425500.00,,,
