"BN/Registration number","Fiscal period end","Form ID","300","305","310","315","320","325","330","335","340","345","370","380","390"
"100319797RR0001",2024-3-31 00:00:00,"27",217,,2,3,3,1,1,,,,236,$3388184.00,$14575648.00
"100334994RR0001",2024-3-31 00:00:00,"27",8,6,2,,,,,,,,14,$170841.00,$542715.00
"100338797RR0001",2024-12-31 00:00:00,"27",6,,,,,,,,,,5,,
"100384734RR0001",2024-8-31 00:00:00,"27",4,1,1,1,1,,,,,,49,$406472.00,$718187.00
"100405299RR0001",2024-8-31 00:00:00,"27",22,12,10,,,,,,,,5,,$1005154.00
"100452838RR0001",2024-6-30 00:00:00,"27",2,,2,,,,,,,,6,$35772.00,$129113.00
"100462118RR0001",2024-6-30 00:00:00,"27",5,4,1,,,,,,,,7,$140495.00,$288615.00
"100493253RR0001",2024-12-31 00:00:00,"27",,1,,,,,,,,,,$23.00,$23.00
"100504687RR0001",2024-6-30 00:00:00,"27",15,1,13,1,,,,,,,43,$230974.00,$1388726.00
"100549989RR0001",2024-12-31 00:00:00,"27",2,1,1,,,,,,,,,,$155620.00
"100622661RR0001",2024-3-31 00:00:00,"27",34,,7,2,1,,,,,,59,$1021779.00,$3134376.00
"100623602RR0001",2024-6-30 00:00:00,"27",2,2,,,,,,,,,5,$6656.00,$93757.00
"100655810RR0001",2024-3-31 00:00:00,"27",6,6,4,,,,,,,,29,$248260.00,$633092.00
"100661487RR0001",2024-12-31 00:00:00,"27",1,,1,,,,,,,,1,$12656.00,$74576.00
"100681238RR0001",2024-3-31 00:00:00,"27",85,,,8,1,1,,,,,48,$2238386.00,$11546930.00
"100709708RR0001",2024-7-31 00:00:00,"27",0,,,,,,,,,,5,$68902.00,$68902.00
"100709708RR0001",2024-12-31 00:00:00,"27",0,,,,,,,,,,3,$40963.00,$40963.00
"100718212RR0001",2024-3-31 00:00:00,"27",8,9,,,,,,,,,,,$231549.00
"100731660RR0001",2024-3-31 00:00:00,"27",183,,,,6,2,1,1,,,265,$1614182.00,$16008217.00
"100749357RR0001",2024-9-30 00:00:00,"27",2,,1,,1,,,,,,153,$618426.00,$881839.00
"100750959RR0001",2024-10-31 00:00:00,"27",,,,,,,,,,,8,$29112.00,$29112.00
"100762723RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,1,$36887.00,$36887.00
"100763416RR0001",2024-3-31 00:00:00,"27",6,,5,1,1,,,,,,1,$5320.00,$521000.00
"100764638RR0001",2024-12-31 00:00:00,"27",1,1,,,,,,,,,1,,$27243.00
"100765114RR0001",2024-3-31 00:00:00,"27",29,7,2,1,0,0,0,0,0,0,57,$929241.00,$1855330.00
"100769835RR0001",2024-3-31 00:00:00,"27",2,1,1,,,,,,,,,,$105482.00
"100774843RR0001",2024-5-31 00:00:00,"27",13,,6,3,1,,,,,,3,$101987.00,$1313912.00
"100804939RR0001",2024-6-30 00:00:00,"27",,4,5,1,,,,,,,84,$14903201.00,$940270.00
"100807189RR0001",2024-12-31 00:00:00,"27",,,,,,,,,,,11,$242413.00,$242413.00
"100810290RR0001",2024-12-31 00:00:00,"27",4,1,2,1,,,,,,,15,$212751.00,$425247.00
"100815067RR0001",2024-3-31 00:00:00,"27",9,2,7,,,,,,,,58,$1451848.00,$1849520.00
